N°,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,CÓDIGO DE LV,LOCAL DE VOTACIÓN,DIRECCION DEL LOCAL DE VOTACIÓN,NÚMERO DE MESAS,NÚMERO DE RUTA,DESCRIPCIÓN DE RUTA,TIPO DE MOVILIDAD,FECHA DE SALIDA,HORA DE SALIDA,FECHA DE LLEGADA,HORA DE LLEGADA
11,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17779,IESTP SAN JOSE,CALLE LAS AMERICAS 113,7,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
12,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17780,IESTP AMAZONAS YURIMAGUAS,AV VICTOR SIFUENTES 1323,1,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
13,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17781,UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS,CALLE PROLONGACION LA LIBERTAD 1220,13,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
14,LORETO,ALTO AMAZONAS,YURIMAGUAS,,27381,IE 62586 MARIA INMACULADA,CALLE MARIA PARADO DE BELLIDO MZ B LOTE 01,11,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
15,LORETO,ALTO AMAZONAS,YURIMAGUAS,,3889,IEP EMBLEMATICA VIRGEN DE LOS DOLORES,PROL ARICA KM 4,1,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
16,LORETO,ALTO AMAZONAS,YURIMAGUAS,,3890,IE AGROPECUARIO 110,CALLE LAS AMERICAS CDRA 5,16,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
17,LORETO,ALTO AMAZONAS,YURIMAGUAS,,3892,IE 62172 JORGE ALFONSO VASQUEZ REATEGUI,CALLE CORONEL PORTILLO 401,9,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
18,LORETO,ALTO AMAZONAS,YURIMAGUAS,,3893,IE 62002 MATILDE TUNJAR GUZMAN DE VELA,CALLE PROGRESO 409,1,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
19,LORETO,ALTO AMAZONAS,YURIMAGUAS,,3894,IE INDUSTRIAL 029,CALLE ALFONSO UGARTE 916,1,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
20,LORETO,ALTO AMAZONAS,YURIMAGUAS,MUNICHIS,50183,IE 62011,AV ASCENCIO RIVERA CASTILLO,1,32,YURIMAGUAS - CCPP MUNICHIS,TERRESTRE,02/10/2026,10:00:00 a. m.,02/10/2026,11:00:10 a. m
21,LORETO,ALTO AMAZONAS,YURIMAGUAS,PAMPA HERMOSA,50184,IE 62013 VICTOR MANUEL SIFUENTES MESIA,AV DANIEL MARICHI SN,1,33,YURIMAGUAS - CC PAMPA HERMOSA,TERRESTRE,02/10/2026,10:30:00 a. m.,02/10/2026,11:30:00 a. m.
22,LORETO,ALTO AMAZONAS,YURIMAGUAS,PROVIDENCIA,50185,IE PROVIDENCIA,CALLE RIO HUALLAGA SN,2,30,YURIMAGUAS - CC SANTA MARIA - CCPP PROVIDENCIA,TERRESTRE,02/10/2026,09:00:00 a. m.,02/10/2026,01:30:00 p. m.
23,LORETO,ALTO AMAZONAS,YURIMAGUAS,SANTA MARIA,50186,IE SANTA MARIA,CALLE ALFONSO DIAZ SN,6,30,YURIMAGUAS - CC SANTA MARIA - CCPP PROVIDENCIA,TERRESTRE,02/10/2026,09:00:00 a. m.,02/10/2026,01:30:00 p. m.
24,LORETO,ALTO AMAZONAS,YURIMAGUAS,SAN PEDRO DEL ZAPOTE,54273,IE VALLE DEL ZAPOTE,CALLE MANASES TUANAMA SN,1,29,YURIMAGUAS - CCPP SAN PEDRO DEL ZAPOTE,TERRESTRE,02/10/2026,08:30:00 a. m.,02/10/2026,10:30:00 a. m.
25,LORETO,ALTO AMAZONAS,YURIMAGUAS,TUPAC AMARU VALLE DEL SHANUSI,54929,IE TUPAC AMARU,AV YURIMAGUAS SN,1,35,YURIMAGUAS - CCPP TUPAC AMARU VALLE DEL SANUSI,TERRESTRE,02/10/2026,11:00:00 a. m.,02/10/2026,11:30:00 a. m.
26,LORETO,ALTO AMAZONAS,YURIMAGUAS,LAS AMAZONAS,55239,IE INTEGRADO 62448,CCNN LAS AMAZONAS,1,31,YURIMAGUAS - CCPP MUNICHIS(Terrestre) - CCPP SAN JOSE - CCPP LAS AMAZONAS(Fluvial),TERRESTRE Y FLUVIAL,02/10/2026,09:30:00 a. m.,02/10/2026,04:30:00 p. m.
27,LORETO,ALTO AMAZONAS,BALSAPUERTO,,17414,IE 62789,COMUNIDAD NATIVA 10 DE AGOSTO,1,26,YURIMAGUAS - BALSAPUERTO-CCPP NUEVO ARICA - CCPP 10 DE AGOSTO - CCPP BUENOS AIRES,TERRESTRE,02/10/2026,07:00:00 a. m.,02/10/2026,12:00:00 p. m.
28,LORETO,ALTO AMAZONAS,BALSAPUERTO,,17415,IE 62432,CALLE RIO CACHIYACU SN,2,26,YURIMAGUAS - BALSAPUERTO-CCPP NUEVO ARICA - CCPP 10 DE AGOSTO - CCPP BUENOS AIRES,TERRESTRE,02/10/2026,07:00:00 a. m.,02/10/2026,12:00:00 p. m.
29,LORETO,ALTO AMAZONAS,BALSAPUERTO,,17417,IE 62802,CALLE SAN JORGE SN,2,27,YURIMAGUAS -CCPP MUNICHIS-CCPP NUEVO ARICA - BALSA PUERTO,TERRESTRE,02/10/2026,07:30:00 a. m.,02/10/2026,11:30:00 a. m.
30,LORETO,ALTO AMAZONAS,BALSAPUERTO,SAN GABRIEL DE VARADERO,3896,IE SAN PABLO APOSTOL,CALLE LIBERTADORES SN,5,24,YURIMAGUAS - CCPP SANTA LUCIA(Terrestre) - CCPP SAN GABRIL DE VARADERO - CCPP PANAN(fluviaql),TERRESTRE Y FLUVIAL,02/10/2026,07:00:00 a. m.,02/10/2026,12:30:00 p. m.
31,LORETO,ALTO AMAZONAS,BALSAPUERTO,PANAN,3897,IE PANAN,CALLE RIO PARANAPURA SN,5,24,YURIMAGUAS - CCPP SANTA LUCIA(Terrestre) - CCPP SAN GABRIL DE VARADERO - CCPP PANAN(fluviaql),TERRESTRE Y FLUVIAL,02/10/2026,06:00:00 a. m.,02/10/2026,12:30:00 p. m.
32,LORETO,ALTO AMAZONAS,BALSAPUERTO,,3898,IE 62027,CALLE DANIEL ALCIDES CARRION SN,12,27,YURIMAGUAS -CCPP MUNICHIS-CCPP NUEVO ARICA - BALSA PUERTO,TERRESTRE,02/10/2026,07:30:00 a. m.,02/10/2026,11:30:00 a. m.
33,LORETO,ALTO AMAZONAS,BALSAPUERTO,,40569,IE BALSAPUERTO,CALLE 7 DE FEBRERO SN,17,27,YURIMAGUAS -CCPP MUNICHIS-CCPP NUEVO ARICA - BALSA PUERTO,TERRESTRE,02/10/2026,07:30:00 a. m.,02/10/2026,11:30:00 a. m.
34,LORETO,ALTO AMAZONAS,BALSAPUERTO,NUEVO ARICA,53615,IE 62377,CALLE QUEBRADA ARMANAYACU,3,28,YURIMAGUAS -CCPP MUNICHIS - CCPP NUEVO ARICA,TERRESTRE,02/10/2026,08:00:00 a. m.,02/10/2026,09:00:00 p. m.
35,LORETO,ALTO AMAZONAS,BALSAPUERTO,NUEVA VIDA,55013,IE NUEVA VIDA,CALLE SN CCPP NUEVA VIDA,2,25,YURIMAGUAS - CCP MUNICHIS-CCPP SANTA LUCIA(Terrestre) - CCPP SAN GABRIEL DE VARADERO - CCPP PANAN - CCPP LIBERTAD-CCPP NUEVA VIDA(fluvial),TERRESTRE Y FLUVIAL,02/10/2026,06:30:00 a. m.,02/10/2026,09:00:00 p. m.
36,LORETO,ALTO AMAZONAS,BALSAPUERTO,LIBERTAD,55558,IE 62306 LIBERTAD - PRIMARIA,CCNN LIBERTAD,2,25,YURIMAGUAS - CCP MUNICHIS-CCPP SANTA LUCIA(Terrestre) - CCPP SAN GABRIEL DE VARADERO - CCPP PANAN - CCPP LIBERTAD-CCPP NUEVA VIDA(fluvial),TERRESTRE Y FLUVIAL,02/10/2026,06:30:00 a. m.,02/10/2026,09:00:00 p. m.
37,LORETO,ALTO AMAZONAS,JEBEROS,,14474,IE 62022,CALLE PROGRESO 207,5,13,YURIMAGUAS - JEBEROS - CCPP BELLAVISTA - CCPP BETEL,AÉREA,29/09/2026,11:30:00 a. m.,29/09/2026,01:00:00 p. m.
38,LORETO,ALTO AMAZONAS,JEBEROS,,14475,IE JEBEROS,CALLE PASTAZA SN,8,13,YURIMAGUAS - JEBEROS - CCPP BELLAVISTA - CCPP BETEL,AÉREA,29/09/2026,11:30:00 a. m.,29/09/2026,01:00:00 p. m.
39,LORETO,ALTO AMAZONAS,JEBEROS,BETEL,55238,IE 62345 BETHEL,COMUNIDAD NATIVA BETHEL,2,13,YURIMAGUAS - JEBEROS - CCPP BELLAVISTA - CCPP BETEL,AÉREA,29/09/2026,11:30:00 a. m.,29/09/2026,01:00:00 p. m.
40,LORETO,ALTO AMAZONAS,LAGUNAS,,14479,IE 62015,CALLE PABLO INGA 404,3,22,YURIMAGUAS - SANTA CRUZ -CCPP ARAHUANTE -LAGUNAS,FLUVIAL,02/10/2026,05:00:00 a. m.,02/10/2026,12:00:00 p. m.
41,LORETO,ALTO AMAZONAS,LAGUNAS,,14484,IE 62019,CALLE FITZCARRALD 806,5,22,YURIMAGUAS - SANTA CRUZ -CCPP ARAHUANTE -LAGUNAS,FLUVIAL,02/10/2026,05:00:00 a. m.,02/10/2026,12:00:00 p. m.
42,LORETO,ALTO AMAZONAS,LAGUNAS,,3901,IE MISIONAL GORETTI FE Y ALEGRIA 80,CALLE AMAZONAS 804,1,22,YURIMAGUAS - SANTA CRUZ -CCPP ARAHUANTE -LAGUNAS,FLUVIAL,02/10/2026,05:00:00 a. m.,02/10/2026,12:00:00 p. m.
43,LORETO,ALTO AMAZONAS,LAGUNAS,,3902,IE 62017,CALLE DANIEL ALCIDES CARRION SN,1,22,YURIMAGUAS - SANTA CRUZ -CCPP ARAHUANTE -LAGUNAS,FLUVIAL,02/10/2026,05:00:00 a. m.,02/10/2026,12:00:00 p. m.
44,LORETO,ALTO AMAZONAS,LAGUNAS,ARAHUANTE,53633,IE ARAHUANTE,CALLE SAN MARTIN SN,2,22,YURIMAGUAS - SANTA CRUZ -CCPP ARAHUANTE -LAGUNAS,FLUVIAL,02/10/2026,05:00:00 a. m.,02/10/2026,12:00:00 p. m.
45,LORETO,ALTO AMAZONAS,SANTA CRUZ,,40570,IE SANTA CRUZ,CALLE CABO REYES SN,8,23,YURIMAGUAS - CCPP PROGRESO - SANTA CRUZ,FLUVIAL,02/10/2026,05:30:00 a. m.,02/10/2026,10:30:00 a. m.
46,LORETO,ALTO AMAZONAS,SANTA CRUZ,PROGRESO,53640,IE 62484,CALLE RIO HUALLAGA SN,3,23,YURIMAGUAS - CCPP PROGRESO - SANTA CRUZ,FLUVIAL,02/10/2026,05:30:00 a. m.,02/10/2026,10:30:00 a. m.
47,LORETO,ALTO AMAZONAS,SANTA CRUZ,,54667,IE 62023,CALLE QUEBRADA ARMANAYACU SN,7,23,YURIMAGUAS - CCPP PROGRESO - SANTA CRUZ,FLUVIAL,02/10/2026,05:30:00 a. m.,02/10/2026,10:30:00 a. m.
48,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,,3904,IE SHUCUSHYACU,CALLE TENIENTE CESAR LOPEZ ROJAS SN,11,34,YURIMAGUAS - TENIENTE CESAR LOPEZ ROJAS,FLUVIAL,02/10/2026,11:00:00 a. m.,02/10/2026,01:00:00 p. m.
49,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,,40571,IE 62028 VIRGEN DE FATIMA,CALLE TENIENTE CESAR LOPEZ ROJAS SN,7,34,YURIMAGUAS - TENIENTE CESAR LOPEZ ROJAS,FLUVIAL,02/10/2026,11:00:00 a. m.,02/10/2026,01:00:00 p. m.
50,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,LAGO CUIPARI,55559,IE JUAN ESPIRITU SALINAS ACHO - SECUNDARIA,CASERIO LAGO CUIPARI,3,34,YURIMAGUAS - TENIENTE CESAR LOPEZ ROJAS,FLUVIAL,02/10/2026,11:00:00 a. m.,02/10/2026,01:00:00 p. m.
51,LORETO,DATEM DEL MARAÑON,BARRANCA,,27452,IE 62031 BARRANCA,JR MARAÑON SN,5,17,YURIMAGUAS - SANTA CRUZ - LAGUNAS - CCPP CHARUPA - CCPP PUERTO INDUSTRIAL - SAN LORENSO - CCPP BARRANCA,FLUVIAL,02/10/2026,06:30:00 a. m.,03/10/2026,08:00:00 a. m.
52,LORETO,DATEM DEL MARAÑON,BARRANCA,,27469,IE CIRO ALEGRIA BAZAN,JR JOSE OLAYA SN,6,17,YURIMAGUAS - SANTA CRUZ - LAGUNAS - CCPP CHARUPA - CCPP PUERTO INDUSTRIAL - SAN LORENSO - CCPP BARRANCA,FLUVIAL,02/10/2026,06:30:00 a. m.,03/10/2026,08:00:00 a. m.
53,LORETO,DATEM DEL MARAÑON,BARRANCA,,3962,IE 62032 ARCENIO SANTILLAN PEÑA,JR AMAZONAS 438,28,17,YURIMAGUAS - SANTA CRUZ - LAGUNAS - CCPP CHARUPA - CCPP PUERTO INDUSTRIAL - SAN LORENSO - CCPP BARRANCA,FLUVIAL,02/10/2026,06:30:00 a. m.,03/10/2026,08:00:00 a. m.
54,LORETO,DATEM DEL MARAÑON,BARRANCA,COPAL,54931,IE 62507 COPAL,QUEBRADA AYCHIYACU COMUNIDAD NATIVA COPAL,1,18,YURIMAGUAS - SANTA CRUZ - LAGUNAS - CCPP PUERTO INDUSTRIAL - SAN LORENSO - CCPP BARRANCA - CCPP BOCA DE SASIPAHUA - CCPP PORVENIR - CCPP COPAL,FLUVIAL,30/09/2026,07:00:00 a. m.,03/10/2026,03:00:00 p. m.
55,LORETO,DATEM DEL MARAÑON,BARRANCA,PORVENIR,54932,IE 62145 PORVENIR,RIO POTRO COMUNIDAD NATIVA PORVENIR,1,18,YURIMAGUAS - SANTA CRUZ - LAGUNAS - CCPP PUERTO INDUSTRIAL - SAN LORENSO - CCPP BARRANCA - CCPP BOCA DE SASIPAHUA - CCPP PORVENIR - CCPP COPAL,FLUVIAL,30/09/2026,07:00:00 a. m.,03/10/2026,03:00:00 p. m.
56,LORETO,DATEM DEL MARAÑON,BARRANCA,BOCA DE SASIPAHUA,55108,IE 62241 BOCA DE SASIPAGUA,COMUNIDAD NATIVA BOCA DE SASIPAGUA,1,18,YURIMAGUAS - SANTA CRUZ - LAGUNAS - CCPP PUERTO INDUSTRIAL - SAN LORENSO - CCPP BARRANCA - CCPP BOCA DE SASIPAHUA - CCPP PORVENIR - CCPP COPAL,FLUVIAL,30/09/2026,07:00:00 a. m.,03/10/2026,03:00:00 p. m.
57,LORETO,DATEM DEL MARAÑON,ANDOAS,,17437,IE NUEVO ANDOAS,JR PASTAZA SN,7,16,YURIMAGUAS - SANTA CRUZ - LAGUNAS - PASTAZA - CCPP SAN FERNANDO - ANDOAS - CCPP WASHINTSA,FLUVIAL,27/09/2026,05:45:00 a. m.,03/10/2026,02:00:00 p. m.
